~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 7018; size: 4; type mem_op_read;
~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 7024; size: 4; type mem_op_read;
~ [Crypt] addr: 7bc0; size: 4; type mem_op_read;
~ [Crypt] addr: 7bc0; size: 4; type mem_op_read;
~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 7024; size: 4; type mem_op_read;
~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 7004; size: 4; type mem_op_read;
~ [Crypt] addr: 7c20; size: 4; type mem_op_read;
~ [Crypt] addr: 2f004810; size: 4; type mem_op_read;
~ [Crypt] addr: 7c20; size: 4; type mem_op_read;
~ [Crypt] addr: 2f004810; size: 4; type mem_op_read;
~ [Crypt] addr: 7c20; size: 4; type mem_op_read;
~ [Crypt] addr: 2f004810; size: 4; type mem_op_read;
~ [Crypt] addr: 7004; size: 4; type mem_op_read;
~ [Crypt] addr: 7004; size: 4; type mem_op_read;
~ [Crypt] addr: 7024; size: 4; type mem_op_read;
~ [Crypt] addr: 7024; size: 4; type mem_op_read;
~ [Crypt] addr: 7004; size: 4; type mem_op_read;
~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 7004; size: 4; type mem_op_read;
~ [Crypt] addr: 7024; size: 4; type mem_op_read;
~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 700c; size: 4; type mem_op_read;
~ [Crypt] addr: 7024; size: 4; type mem_op_read;
~ [Crypt] addr: 7024; size: 4; type mem_op_read;
~ [Crypt] addr: 7018; size: 4; type mem_op_read;
~ [Crypt] addr: 7020; size: 4; type mem_op_read;
~ [Crypt] addr: 7020; size: 4; type mem_op_read;
~ [Crypt] addr: 7010; size: 4; type mem_op_read;
~ [Crypt] addr: 7010; size: 4; type mem_op_read;
~ [Crypt] addr: 7020; size: 4; type mem_op_read;
~ [Crypt] addr: 7010; size: 4; type mem_op_read;
~ [Crypt] addr: 7010; size: 4; type mem_op_read;
~ [Crypt] addr: 7020; size: 4; type mem_op_read;
~ [Crypt] addr: 7020; size: 4; type mem_op_read;
~ [Crypt] addr: 701c; size: 4; type mem_op_read;
~ [Crypt] addr: 7210; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7024; size: 4; type mem_op_read;
~ [Crypt] addr: 701c; size: 4; type mem_op_read;
~ [Crypt] addr: 7010; size: 4; type mem_op_read;
~ [Crypt] addr: 7bc0; size: 4; type mem_op_read;
~ [Crypt] addr: 7004; size: 4; type mem_op_read;
~ [Crypt] addr: 7bc0; size: 4; type mem_op_read;
~ [Crypt] addr: 7bc0; size: 4; type mem_op_read;
~ [Crypt] addr: 7010; size: 4; type mem_op_read;
~ [Crypt] addr: 7020; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7210; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7210; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7210; size: 4; type mem_op_read;
~ [Crypt] addr: 7020; size: 4; type mem_op_read;
~ [Crypt] addr: 7210; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [Crypt] addr: 7024; size: 4; type mem_op_read;
~ [Crypt] addr: 7024; size: 4; type mem_op_read;
~ [Crypt] addr: 7020; size: 4; type mem_op_read;
