Removed duplicates of file with Size: 1,4 GB

$awk '!seen[$0]++' boot_success_addr_output_complete.txt > boot_success_addr_output_complete_cleaned.txt


This Files shows 'all' reads and writes during boot process in the following address range:
addr > 0x2f000000 || addr < 0x84F0992

This are all reads/writes that occur during boot process w/o duplicates;
It seems to oscillate between the small addresses near the roms, the higher addresses that are not written by QEMU writes and the rootfs image file.


[TRACE]:


~ [No Crypt] addr: 0; size: 40; type cpu_physical_memory_write_rom_internal;
~ [No Crypt] addr: 100; size: 44; type cpu_physical_memory_write_rom_internal;
~ [No Crypt] addr: 8000; size: 3598640; type cpu_physical_memory_write_rom_internal;
~ [No Crypt] addr: 8000000; size: 5112320; type cpu_physical_memory_write_rom_internal;
~ [No Crypt] addr: 84e1000; size: 63890; type cpu_physical_memory_write_rom_internal;
~ [No Crypt] addr: 4000; size: 4; type mem_op_read;
~ [No Crypt] addr: 400c; size: 4; type mem_op_read;
~ [No Crypt] addr: 4030; size: 4; type mem_op_read;
~ [No Crypt] addr: 4008; size: 4; type mem_op_read;
~ [No Crypt] addr: 402c; size: 4; type mem_op_read;
~ [No Crypt] addr: 4004; size: 4; type mem_op_read;
~ [No Crypt] addr: 4028; size: 4; type mem_op_read;
~ [No Crypt] addr: 4024; size: 4; type mem_op_read;
~ [No Crypt] addr: 4010; size: 4; type mem_op_read;
~ [No Crypt] addr: 4014; size: 4; type mem_op_read;
~ [No Crypt] addr: 4018; size: 4; type mem_op_read;
~ [No Crypt] addr: 401c; size: 4; type mem_op_read;
~ [No Crypt] addr: 4020; size: 4; type mem_op_read;
~ [No Crypt] addr: 7020; size: 4; type mem_op_read;
~ [No Crypt] addr: 7024; size: 4; type mem_op_read;
~ [No Crypt] addr: 7004; size: 4; type mem_op_read;
~ [No Crypt] addr: 700c; size: 4; type mem_op_read;
~ [No Crypt] addr: 7014; size: 4; type mem_op_read;
~ [No Crypt] addr: 7018; size: 4; type mem_op_read;
~ [No Crypt] addr: 701c; size: 4; type mem_op_read;
~ [No Crypt] addr: 7210; size: 4; type mem_op_read;
~ [No Crypt] addr: 7010; size: 4; type mem_op_read;
~ [No Crypt] addr: 7000; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 7be0; size: 4; type mem_op_read;
~ [No Crypt] addr: 7be4; size: 4; type mem_op_read;
~ [No Crypt] addr: 7be8; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bec; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bf0; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bf8; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 7c20; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004810; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004818; size: 4; type mem_op_read;
~ [No Crypt] addr: 7e3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffbc00; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004820; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004808; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004828; size: 4; type mem_op_read;
~ [No Crypt] addr: 7ffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffdfc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffdfc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 7008; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004830; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004838; size: 4; type mem_op_read;
~ [No Crypt] addr: 7ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffdbf8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004840; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f00494c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004954; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f00495c; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 7200; size: 4; type mem_op_read;
~ [No Crypt] addr: 7204; size: 4; type mem_op_read;
~ [No Crypt] addr: 7208; size: 4; type mem_op_read;
~ [No Crypt] addr: 720c; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 7fdc; size: 4; type mem_op_read;
