Removed duplicates of file with Size: 123.511.024 bytes; 

$awk '!seen[$0]++' boot_success_b0x2f000000_addr_output_bigger.txt > boot_success_b0x2f000000_addr_output_bigger_cleaned.txt

This Files shows 'all' reads and writes during boot process that are:
> 0x2f000000

Beforehand it was observed that addresses from somewhere in that range are readed during the boot process, w/o beeing written from qemu;
By excluding certain addresses, it was possible to finally boot the kernel again with activated encryption;


~ [No Crypt] addr: 2f004810; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004818; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffbc00; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004820; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004808; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004828; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffdfc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffdfc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004830; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004838; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffdbf8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004840; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f00494c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004954; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f00495c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f156f90; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f156fc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f156f94; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f156fcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f156f98; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f156fd0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004ac0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004ad0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004ad8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004ae0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004ae4; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004ae8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004aec; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004af0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004af4; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004af8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004afc; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b04; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b08; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b0c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b10; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b14; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b18; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b1c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b20; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b28; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b2c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b30; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b34; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b38; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b40; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b44; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b4c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b50; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b54; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b58; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b5c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b60; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b64; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b68; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f156f9c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f156fd4; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b70; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b78; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffa804; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffdbf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a94; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bf40; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ab54; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be80; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be90; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be94; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bf3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4beac; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bedc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bee0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bee8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be84; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be88; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bef0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49840; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bee4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a90; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be8c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bea0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4beb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bebc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bef8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bf34; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bec0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bec8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bef4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4beb4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49848; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bea4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bed8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bf30; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be98; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be9c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4beec; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be7c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be78; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bc78; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bc84; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bc68; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bc64; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf84; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bec4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4984c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bc88; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfd0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bf38; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4beb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bc60; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfd4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfd8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf98; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bea8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf88; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf90; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfa4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfb4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfa8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf94; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bc7c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf9c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf8c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49844; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfac; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfa0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4becc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bc80; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bc6c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bc74; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bbec; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bba0; size: 4; type mem_op_read;
