Removed duplicates of file with Size: 1.222.238.877 bytes; 

$awk '!seen[$0]++' boot_success_s0x84F0992_addr_output_smaller.txt > boot_success_s0x84F0992_addr_output_smaller_cleaned.txt

This Files shows 'all' reads and writes during boot process in the following address range:
0x0 - 0x84F0992

Address Range includes all pre written ROMS to our ext_memory;

[TRACE]:

~ [No Crypt] addr: 0; size: 40; type cpu_physical_memory_write_rom_internal;
~ [No Crypt] addr: 100; size: 44; type cpu_physical_memory_write_rom_internal;
~ [No Crypt] addr: 8000; size: 3598640; type cpu_physical_memory_write_rom_internal;
~ [No Crypt] addr: 8000000; size: 5112320; type cpu_physical_memory_write_rom_internal;
~ [No Crypt] addr: 84e1000; size: 63890; type cpu_physical_memory_write_rom_internal;
~ [No Crypt] addr: 4000; size: 4; type mem_op_read;
~ [No Crypt] addr: 400c; size: 4; type mem_op_read;
~ [No Crypt] addr: 4030; size: 4; type mem_op_read;
~ [No Crypt] addr: 4008; size: 4; type mem_op_read;
~ [No Crypt] addr: 402c; size: 4; type mem_op_read;
~ [No Crypt] addr: 4004; size: 4; type mem_op_read;
~ [No Crypt] addr: 4028; size: 4; type mem_op_read;
~ [No Crypt] addr: 4024; size: 4; type mem_op_read;
~ [No Crypt] addr: 4010; size: 4; type mem_op_read;
~ [No Crypt] addr: 4014; size: 4; type mem_op_read;
~ [No Crypt] addr: 4018; size: 4; type mem_op_read;
~ [No Crypt] addr: 401c; size: 4; type mem_op_read;
~ [No Crypt] addr: 4020; size: 4; type mem_op_read;
~ [No Crypt] addr: 7020; size: 4; type mem_op_read;
~ [No Crypt] addr: 7024; size: 4; type mem_op_read;
~ [No Crypt] addr: 7004; size: 4; type mem_op_read;
~ [No Crypt] addr: 700c; size: 4; type mem_op_read;
~ [No Crypt] addr: 7014; size: 4; type mem_op_read;
~ [No Crypt] addr: 7018; size: 4; type mem_op_read;
~ [No Crypt] addr: 701c; size: 4; type mem_op_read;
~ [No Crypt] addr: 7210; size: 4; type mem_op_read;
~ [No Crypt] addr: 7010; size: 4; type mem_op_read;
~ [No Crypt] addr: 7000; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 7be0; size: 4; type mem_op_read;
~ [No Crypt] addr: 7be4; size: 4; type mem_op_read;
~ [No Crypt] addr: 7be8; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bec; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bf0; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bf8; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 7c20; size: 4; type mem_op_read;
~ [No Crypt] addr: 7e3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 7ffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 7008; size: 4; type mem_op_read;
~ [No Crypt] addr: 7ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 7200; size: 4; type mem_op_read;
~ [No Crypt] addr: 7204; size: 4; type mem_op_read;
~ [No Crypt] addr: 7208; size: 4; type mem_op_read;
~ [No Crypt] addr: 720c; size: 4; type mem_op_read;
~ [No Crypt] addr: 7bcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 7fdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 6ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3004; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3200; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3bcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c300c; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3014; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3024; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3008; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3010; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3e3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3bdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3ffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3bc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3bb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3018; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3bfc; size: 4; type mem_op_read;
